,ID,Language,Meaning,Word
0,1,French,hand,main
1,2,French,leg,jambe
2,3,French,eye,œil
3,4,French,nose,nez
4,5,French,ear,oreille
5,6,French,tooth,dent
6,7,French,come,venir
7,8,French,run,courir
8,9,French,go,aller
9,10,French,sit,asseoir
10,11,French,stand,se lever
11,12,French,walk,marcher
12,13,French,jump,sauter
13,14,French,write,écrire
14,15,French,read,lire
15,16,French,speak,parler
16,17,French,listen,écouter
17,18,French,eat,manger
18,19,French,drink,boire
19,20,French,sleep,dormir
20,21,French,morning,matin
21,22,French,night,nuit
22,23,French,day,jour
23,24,French,week,semaine
24,25,French,month,mois
25,26,French,year,an
26,27,French,sun,soleil
27,28,French,moon,lune
28,29,French,star,étoile
29,30,French,sky,ciel
30,31,French,house,maison
31,32,French,door,porte
32,33,French,window,fenêtre
33,34,French,chair,chaise
34,35,French,table,table
35,36,French,book,livre
36,37,French,pen,stylo
37,38,French,paper,papier
38,39,French,phone,téléphone
39,40,French,computer,ordinateur
40,41,French,cat,chat
41,42,French,dog,chien
42,43,French,bird,oiseau
43,44,French,fish,poisson
44,45,French,tree,arbre
45,46,French,flower,fleur
46,47,French,water,eau
47,48,French,fire,feu
48,49,French,earth,terre
49,50,French,air,air
50,1,Italian,hand,mano
51,2,Italian,leg,gamba
52,3,Italian,eye,occhio
53,4,Italian,nose,naso
54,5,Italian,ear,orecchio
55,6,Italian,tooth,dente
56,7,Italian,come,venire
57,8,Italian,run,correre
58,9,Italian,go,andare
59,10,Italian,sit,sedere
60,11,Italian,stand,alzarsi
61,12,Italian,walk,camminare
62,13,Italian,jump,saltare
63,14,Italian,write,scrivere
64,15,Italian,read,leggere
65,16,Italian,speak,parlare
66,17,Italian,listen,ascoltare
67,18,Italian,eat,mangiare
68,19,Italian,drink,bere
69,20,Italian,sleep,dormire
70,21,Italian,morning,mattina
71,22,Italian,night,notte
72,23,Italian,day,giorno
73,24,Italian,week,settimana
74,25,Italian,month,mese
75,26,Italian,year,anno
76,27,Italian,sun,sole
77,28,Italian,moon,luna
78,29,Italian,star,stella
79,30,Italian,sky,cielo
80,31,Italian,house,casa
81,32,Italian,door,porta
82,33,Italian,window,finestra
83,34,Italian,chair,sedia
84,35,Italian,table,tavolo
85,36,Italian,book,libro
86,37,Italian,pen,penna
87,38,Italian,paper,carta
88,39,Italian,phone,telefono
89,40,Italian,computer,computer
90,41,Italian,cat,gatto
91,42,Italian,dog,cane
92,43,Italian,bird,uccello
93,44,Italian,fish,pesce
94,45,Italian,tree,albero
95,46,Italian,flower,fiore
96,47,Italian,water,acqua
97,48,Italian,fire,fuoco
98,49,Italian,earth,terra
99,50,Italian,air,aria
100,1,English,hand,hand
101,2,English,leg,leg
102,3,English,eye,eye
103,4,English,nose,nose
104,5,English,ear,ear
